Food code,Main food description
26317161,"Scallops, coated, baked or broiled, fat not added in cooking"
26319110,"Shrimp, cooked, NS as to cooking method"
26319120,"Shrimp, baked or broiled, made with oil"
26319121,"Shrimp, baked or broiled, made with butter"
26319122,"Shrimp, baked or broiled, made with margarine"
26319123,"Shrimp, baked or broiled, made without fat"
26319124,"Shrimp, baked or broiled, made with cooking spray"
26319130,"Shrimp, steamed or boiled"
26319140,"Shrimp, coated, fried, made with oil"
26319141,"Shrimp, coated, fried, made with butter"
26319142,"Shrimp, coated, fried, made with margarine"
26319143,"Shrimp, coated, fried, made without fat"
26319144,"Shrimp, coated, fried, made with cooking spray"
26319145,"Shrimp, coated, fried, from fast food / restaurant"
26319160,"Shrimp, coated, baked or broiled, made with oil"
26319161,"Shrimp, coated, baked or broiled, made with butter"
26319162,"Shrimp, coated, baked or broiled, made with margarine"
26319163,"Shrimp, coated, baked or broiled, made without fat"
26319164,"Shrimp, coated, baked or broiled, made with cooking spray"
26319170,"Shrimp, dried"
26319180,"Shrimp, canned"
26321110,"Snails, cooked, NS as to cooking method"
27111000,Beef with tomato-based sauce (mixture)
27111050,"Spaghetti sauce with beef or meat other than lamb or mutton, homemade"
27111100,Beef goulash
27111200,Beef burgundy (beef bourguignonne)
27111300,"Mexican style beef stew, no potatoes, tomato-based sauce (mixture) (Carne guisada sin papas)"
27111310,"Mexican style beef stew, no potatoes, with chili peppers, tomato-based sauce (mixture) (Carne guisada con chile)"
27111400,"Chili con carne, NS as to beans"
27111405,"Chili con carne with beans, from restaurant"
27111406,"Chili con carne with beans, home recipe"
27111407,"Chili con carne with beans, canned"
27111410,Chili con carne with beans
27111420,Chili con carne without beans
27111430,"Chili con carne, NS as to beans, with cheese"
27111440,Chili con carne with beans and cheese
27111500,Beef sloppy joe (no bun)
27112000,Beef with gravy (mixture)
27112010,Salisbury steak with gravy (mixture)
27113000,Beef with cream or white sauce (mixture)
27113100,Beef stroganoff
27113200,Creamed chipped or dried beef
27113300,Swedish meatballs with cream or white sauce (mixture)
27114000,Beef with (mushroom) soup (mixture)
27115000,Beef with soy-based sauce (mixture)
27115100,Steak teriyaki with sauce (mixture)
27116100,Beef curry
27116200,Beef with barbecue sauce (mixture)
27116300,Beef with sweet and sour sauce (mixture)
27116350,"Stewed, seasoned, ground beef, Mexican style (Picadillo de carne de rez)"
27116400,Steak tartare (raw ground beef and egg)
27118110,"Meatballs, Puerto Rican style (Albondigas guisadas)"
27118120,"Stewed seasoned ground beef, Puerto Rican style (Picadillo guisado, picadillo de carne)"
27118130,"Stewed dried beef, Puerto Rican style (Tasajo guisado, carne cecina guisada)"
27118140,"Stuffed pot roast, Puerto Rican style, NFS (assume with gravy and stuffing)"
27118180,"Puerto Rican style beef stew, meat with gravy (potatoes reported separately)"
27120020,Ham or pork with gravy (mixture)
27120030,Ham or pork with barbecue sauce (mixture)
27120060,Sweet and sour pork
27120080,Ham stroganoff
27120090,Ham or pork with (mushroom) soup (mixture)
27120100,Ham or pork with tomato-based sauce (mixture)
27120110,Sausage with tomato-based sauce (mixture)
27120120,Sausage gravy
27120130,"Mexican style pork stew, no potatoes, tomato-based sauce (mixture) (cerdo guisado sin papas)"
27120150,Pork or ham with soy-based sauce (mixture)
27120160,Pork curry
27120210,"Frankfurter or hot dog, with chili, no bun"
27120250,Frankfurters or hot dogs with tomato-based sauce (mixture)
27121000,Pork with chili and tomatoes (mixture) (Puerco con chile)
27121010,"Stewed pork, Puerto Rican style"
27121410,"Chili con carne with beans, made with pork"
27130010,Lamb or mutton with gravy (mixture)
27130040,"Spaghetti sauce with lamb or mutton, homemade"
27130050,Lamb or mutton goulash
27130100,Lamb or mutton curry
27133010,"Stewed goat, Puerto Rican style (Cabrito en fricase, chilindron de chivo)"
27135010,Veal with gravy (mixture)
27135020,Veal scallopini
27135030,Veal with cream sauce (mixture)
27135040,Veal with butter sauce (mixture)
27135050,Veal Marsala
27135110,Veal parmigiana
27135150,Veal cordon bleu
27136050,Venison/deer with tomato-based sauce (mixture)
27136080,Venison/deer with gravy (mixture)
27136100,Chili con carne with venison/deer and beans
27141000,Chicken or turkey cacciatore
27141030,"Spaghetti sauce with poultry, homemade"
27141050,"Stewed chicken with tomato-based sauce, Mexican style (mixture) (Pollo guisado con tomate)"
27141500,Chili con carne with chicken or turkey and beans
27142000,Chicken with gravy (mixture)
27142100,Chicken or turkey fricassee
27142200,Turkey with gravy (mixture)
27143000,Chicken or turkey with cream sauce (mixture)
27144000,Chicken or turkey with (mushroom) soup (mixture)
27145000,Chicken or turkey teriyaki (chicken or turkey with soy-based sauce)
27146000,"Chicken or turkey with barbecue sauce, skin eaten"
27146010,"Chicken or turkey with barbecue sauce, skin not eaten"
27146050,Chicken wing with hot pepper sauce
27146100,Sweet and sour chicken or turkey
27146110,"Sweet and sour chicken or turkey, without vegetables"
27146150,Chicken curry
27146160,Chicken with mole sauce
27146200,Chicken or turkey with cheese sauce (mixture)
27146250,Chicken or turkey cordon bleu
27146300,Chicken or turkey parmigiana
27146350,Orange chicken
27146360,Sesame chicken
27146400,Chicken kiev
27148010,"Stuffed chicken, drumstick or breast, Puerto Rican style (Muslo de pollo o pechuga rellena)"
27150010,"Fish with cream or white sauce, not tuna or lobster (mixture)"
27150020,"Crab, deviled"
27150030,Crab imperial
27150050,Fish timbale or mousse
27150060,Lobster newburg
27150070,Lobster with butter sauce (mixture)
27150100,Shrimp curry
27150110,Shrimp cocktail (shrimp with cocktail sauce)
27150120,Tuna with cream or white sauce (mixture)
27150130,Seafood newburg
27150140,"Clam sauce, white"
27150160,Shrimp with lobster sauce (mixture)
27150170,Sweet and sour shrimp
27150190,Lobster sauce (broth-based)
27150200,Oyster sauce (white sauce-based)
27150210,Fish sauce (bagoong)
27150230,Shrimp scampi
27150250,"Fish moochim (Korean style), dried fish with soy sauce"
27150310,Fish with tomato-based sauce (mixture)
27150320,Fish curry
27150330,Mussels with tomato-based sauce (mixture)
27150350,Sardines with tomato-based sauce (mixture)
27150370,Sardines with mustard sauce (mixture)
27150410,Shrimp teriyaki (shrimp with soy-based sauce) (mixture)
27150510,Scallops with cheese sauce (mixture)
27151030,Marinated fish (Ceviche)
27151040,"Crabs in tomato-based sauce, Puerto Rican style (mixture) (Salmorejo de jueyes)"
27151050,"Shrimp in garlic sauce, Puerto Rican style (mixture) (Camarones al ajillo)"
27151070,"Stewed codfish, Puerto Rican style, no potatoes (potatoes reported separately)"
27160010,"Meat with barbecue sauce, NS as to type of meat (mixture)"
27160100,"Meatballs, NS as to type of meat, with sauce (mixture)"
27161010,Puerto Rican style meat loaf (Albondigon)
27162010,Meat with tomato-based sauce (mixture)
27162050,"Spaghetti sauce with combination of meats, homemade"
27162060,"Spaghetti sauce with meat and vegetables, homemade"
27162500,"Stewed, seasoned, ground beef and pork, Mexican style (Picadillo de carne de rez y puerco)"
27163010,"Meat with gravy, NS as to type of meat (mixture)"
27211000,"Beef and potatoes, no sauce (mixture)"
27211100,"Beef stew with potatoes, tomato-based sauce (mixture)"
27211110,"Mexican style beef stew with potatoes, tomato-based sauce (mixture) (Carne guisada con papas)"
27211150,Beef goulash with potatoes
27211190,"Beef and potatoes with cream sauce, white sauce or mushroom soup-based sauce (mixture)"
27211200,"Beef stew with potatoes, gravy"
27211300,Beef (roast) hash
27211400,Corned beef hash
27211500,Beef and potatoes with cheese sauce (mixture)
27211550,"Stewed, seasoned, ground beef with potatoes, Mexican style (Picadillo de carne de rez con papas)"
27212000,"Beef and noodles, no sauce (mixture)"
27212050,Beef and macaroni with cheese sauce (mixture)
27212100,Beef and noodles with tomato-based sauce (mixture)
27212120,Chili con carne with beans and macaroni
27212150,Beef goulash with noodles
27212200,Beef and noodles with gravy (mixture)
27212300,Beef and noodles with cream or white sauce (mixture)
27212350,Beef stroganoff with noodles
27212400,Beef and noodles with (mushroom) soup (mixture)
27212500,Beef and noodles with soy-based sauce (mixture)
27213000,"Beef and rice, no sauce (mixture)"
27213010,Biryani with meat
27213100,Beef and rice with tomato-based sauce (mixture)
27213120,Porcupine balls with tomato-based sauce (mixture)
27213150,Chili con carne with beans and rice
27213200,Beef and rice with gravy (mixture)
27213300,Beef and rice with cream sauce (mixture)
27213400,Beef and rice with (mushroom) soup (mixture)
27213420,Porcupine balls with (mushroom) soup (mixture)
27213500,Beef and rice with soy-based sauce (mixture)
27213600,Beef and rice with cheese sauce (mixture)
27214100,Meat loaf made with beef
27214110,"Meat loaf made with beef, with tomato-based sauce"
27214300,Beef wellington
27214500,Corned beef patty
27214600,Creamed dried beef on toast
27218110,Puerto Rican style stuffed pot roast (larded meat) with potatoes (Carne mechada con papas boliche)
27218210,Puerto Rican style beef stew with potatoes (Carne guisada con papas)
27218310,"Stewed corned beef, Puerto Rican style (""Corned beef"" guisado)"
27220010,Meat loaf made with ham (not luncheon meat)
27220020,Ham and noodles with cream or white sauce (mixture)
27220030,Ham and rice with (mushroom) soup (mixture)
27220050,Ham or pork with stuffing (mixture)
27220080,Ham croquette
27220110,Pork and rice with tomato-based sauce (mixture)
27220120,Sausage and rice with tomato-based sauce (mixture)
27220150,Sausage and rice with (mushroom) soup (mixture)
27220170,Sausage and rice with cheese sauce (mixture)
27220190,Sausage and noodles with cream or white sauce (mixture)
27220210,"Ham and noodles, no sauce (mixture)"
27220310,"Ham or pork and rice, no sauce (mixture)"
27220510,Ham or pork and potatoes with gravy (mixture)
27220520,Ham or pork and potatoes with cheese sauce (mixture)
27221100,"Stewed pig's feet, Puerto Rican style (Patitas de cerdo guisadas)"
27221110,"Stuffed pork roast, Puerto Rican style"
27221150,"Mexican style pork stew, with potatoes, tomato-based sauce (mixture) (cerdo guisado con papas)"
27230010,Lamb or mutton loaf
27231000,Lamb or mutton and potatoes with gravy (mixture)
27232000,Lamb or mutton and potatoes with tomato-based sauce (mixture)
27233000,Lamb or mutton and noodles with gravy (mixture)
27235000,Meat loaf made with venison/deer
27235750,Veal and noodles with cream or white sauce (mixture)
27236000,Venison/deer and noodles with cream or white sauce (mixture)
27241000,Chicken or turkey hash
27241010,Chicken or turkey and potatoes with gravy (mixture)
27242000,"Chicken or turkey and noodles, no sauce (mixture)"
27242200,Chicken or turkey and noodles with gravy (mixture)
27242250,Chicken or turkey and noodles with (mushroom) soup (mixture)
27242300,Chicken or turkey and noodles with cream or white sauce (mixture)
27242310,Chicken or turkey and noodles with cheese sauce (mixture)
27242350,Chicken or turkey tetrazzini
27242400,"Chicken or turkey and noodles, tomato-based sauce (mixture)"
27242500,Chicken or turkey and noodles with soy-based sauce (mixture)
27243000,"Chicken or turkey and rice, no sauce (mixture)"
27243100,Biryani with chicken
27243300,Chicken or turkey and rice with cream sauce (mixture)
27243400,Chicken or turkey and rice with (mushroom) soup (mixture)
27243500,Chicken or turkey and rice with tomato-based sauce (mixture)
27243600,Chicken or turkey and rice with soy-based sauce (mixture)
27243700,Chicken in cheese sauce with Spanish rice
27246100,Chicken or turkey with dumplings (mixture)
27246200,Chicken or turkey with stuffing (mixture)
27246300,"Chicken or turkey cake, patty, or croquette"
27246400,Chicken or turkey souffle
27246500,Meat loaf made with chicken or turkey
27246505,"Meat loaf made with chicken or turkey, with tomato-based sauce"
27250020,"Clams, stuffed"
27250030,Codfish ball or cake
27250040,Crab cake
27250050,"Fish cake or patty, NS as to fish"
27250060,Gefilte fish
27250070,Salmon cake or patty
27250080,Salmon loaf
27250110,Scallops and noodles with cheese sauce (mixture)
27250120,"Shrimp and noodles, no sauce (mixture)"
27250122,Shrimp and noodles with gravy (mixture)
27250124,Shrimp and noodles with (mushroom) soup (mixture)
27250126,Shrimp and noodles with cream or white sauce (mixture)
27250128,Shrimp and noodles with soy-based sauce (mixture)
27250130,Shrimp and noodles with cheese sauce (mixture)
27250132,Shrimp and noodles with tomato sauce (mixture)
27250150,Tuna loaf
27250160,Tuna cake or patty
27250210,Clam cake or patty
27250220,Oyster fritter
27250250,Flounder with crab stuffing
27250260,"Lobster with bread stuffing, baked"
27250270,Clams Casino
27250300,Mackerel cake or patty
27250310,Haddock cake or patty
27250400,Shrimp cake or patty
27250410,Shrimp with crab stuffing
27250450,"Shrimp toast, fried"
27250520,Seafood restructured
27250550,Seafood souffle
27250610,Tuna noodle casserole with cream or white sauce
27250630,Tuna noodle casserole with (mushroom) soup
27250710,Tuna and rice with (mushroom) soup (mixture)
27250810,Fish and rice with tomato-based sauce
27250820,Fish and rice with cream sauce
27250830,Fish and rice with (mushroom) soup
27250900,Fish and noodles with (mushroom) soup
27250950,"Shellfish mixture and noodles, tomato-based sauce (mixture)"
27251010,"Stewed salmon, Puerto Rican style (Salmon guisado)"
27260010,"Meat loaf, NS as to type of meat"
27260050,"Meatballs, with breading, NS as to type of meat, with gravy"
27260080,Meat loaf made with beef and pork
27260090,"Meat loaf made with beef, veal and pork"
27260100,"Meat loaf made with beef and pork, with tomato-based sauce"
27260110,"Hash, NS as to type of meat"
27260500,"Vienna sausages stewed with potatoes, Puerto Rican style (Salchichas guisadas)"
27260510,Liver dumpling
27261000,"Breaded brains, Puerto Rican style (Sesos rebosados)"
27261500,"Stewed, seasoned, ground beef and pork, with potatoes, Mexican style (Picadillo de carne de rez y puerco con papas)"
27311110,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27311120,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27311210,"Corned beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27311220,"Corned beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27311310,"Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27311320,"Beef stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"
27311410,"Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"
27311420,"Beef stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"
27311510,Shepherd's pie with beef
27311600,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27311605,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27311610,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27311620,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27311625,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27311630,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27311635,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"
27311640,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27311645,"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"
27311650,"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"
27313010,"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27313020,"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27313110,Beef chow mein or chop suey with noodles
27313150,"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"
27313160,"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"
27313210,"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27313220,"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27313310,"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)"
27313320,"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)"
27313410,"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27313420,"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27315010,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27315020,"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27315210,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27315220,"Beef, rice, and vegetables (excluding carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27315250,Stuffed cabbage rolls with beef and rice
27315270,Stuffed grape leaves with beef and rice
27315310,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)"
27315320,"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)"
27315330,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"
27315340,"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27315410,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27315420,"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27315510,"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"
27315520,"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"
27317010,Beef pot pie
27317100,"Beef, dumplings, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27317110,"Beef, dumplings, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27319010,"Stuffed green pepper, Puerto Rican style (Pimiento relleno)"
27320020,Ham pot pie
27320025,"Ham or pork, noodles and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27320027,"Ham or pork, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27320030,"Ham or pork, noodles and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27320040,"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27320070,"Ham or pork, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27320080,"Sausage, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"
27320090,"Sausage, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27320100,"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27320110,"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27320120,"Sausage, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27320130,"Sausage, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27320140,"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27320150,"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27320210,"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27320310,Pork chow mein or chop suey with noodles
27320320,"Pork, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"
27320330,"Pork, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"
27320340,"Pork, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27320350,"Pork, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27320410,"Ham, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27320450,"Ham, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27320500,Sweet and sour pork with rice
27330010,Shepherd's pie with lamb
27330030,"Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"
27330050,"Lamb or mutton, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27330060,"Lamb or mutton, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27330080,"Lamb or mutton, rice, and vegetables  (including carrots, broccoli, and/or dark-green leafy), gravy"
27330110,"Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"
27330170,Stuffed grape leaves with lamb and rice
27330210,"Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27330220,"Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"
27331150,"Veal fricassee, Puerto Rican style (ternera en fricase)"
27332100,"Veal stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27332110,"Veal stew with potatoes and vegetables (excluding carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27335100,Rabbit stew with potatoes and vegetables
27335500,"Stewed rabbit, Puerto Rican style (Fricase de conejo)"
27336100,"Venison/deer stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27336150,"Venison/deer stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"
27336200,"Venison/deer, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27336250,"Venison/deer, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27336300,"Venison/deer, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27336310,"Venison/deer, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27341000,"Chicken or turkey, potatoes, corn, and cheese, with gravy"
27341010,"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27341020,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27341025,"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27341030,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27341035,"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27341040,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27341045,"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"
27341050,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27341055,"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27341060,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27341310,"Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"
27341320,"Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"
27341510,"Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"
27341520,"Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato- based sauce"
27343010,"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27343020,"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27343410,"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27343420,"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27343470,"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27343480,"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27343510,"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27343520,"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27343910,Chicken or turkey chow mein or chop suey with noodles
27343950,"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"
27343960,"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27345010,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27345020,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"
27345210,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27345220,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27345230,"Chicken or turkey, rice, corn, and cheese, with gravy"
27345310,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"
27345320,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"
27345410,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27345420,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)"
27345440,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"
27345450,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27345510,"Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"
27345520,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"
27347100,Chicken or turkey pot pie
27347200,"Chicken or turkey, stuffing, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"
27347210,"Chicken or turkey,stuffing, and vegetables (excluding carrots, broccoli, and dark green leafy), no sauce (mixture)"
27347220,"Chicken or turkey, stuffing, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"
27347230,"Chicken or turkey, stuffing, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"
27347240,"Chicken or turkey, dumplings, and vegetables (including carrots, broccoli, and/or dark green leafy), gravy (mixture)"
27347250,"Chicken or turkey, dumplings, and vegetables (excluding carrots, broccoli, and dark green leafy), gravy (mixture)"
27348100,"Chicken fricassee, Puerto Rican style (Fricase de pollo)"
27350020,Paella with seafood
27350030,"Seafood stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-base sauce"
27350050,Shrimp chow mein or chop suey with noodles
27350060,"Shrimp creole, with rice"
27350070,Tuna pot pie
27350080,"Tuna noodle casserole with vegetables, cream or white sauce"
27350090,"Fish, noodles, and vegetables (including carrots, broccoli, and/or dark green leafy), cheese sauce (mixture)"
27350100,"Fish, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"
27350110,Bouillabaisse
27350200,Oyster pie
